Année,T_MOYENNE
1958,9.6
1959,9.2
1960,8.0
1961,9.0
1962,10.1
1963,9.6
1964,7.9
1965,12.8
1966,8.9
1967,10.6
1968,12.1
1969,11.5
1970,7.7
1971,10.3
1972,9.3
1973,8.1
1974,6.7
1975,7.8
1976,10.3
1977,11.4
1978,10.6
1979,10.9
1980,8.1
1981,8.6
1982,10.7
1983,7.8
1984,11.8
1985,9.6
1986,11.0
1987,13.0
1988,12.4
1989,12.1
1990,11.8
1991,8.4
1992,7.9
1993,9.4
1994,11.2
1995,13.0
1996,12.1
1997,7.2
1998,11.5
1999,12.6
2000,12.4
2001,15.2
2002,12.5
2003,5.4
2004,10.3
2005,14.4
2006,15.7
2007,9.0
2008,6.0
2009,10.1
2010,8.2
2011,10.9
2012,7.1
2013,11.4
2014,13.5
2015,8.1
2016,10.4
2017,13.7
2018,6.9
2019,14.7
2020,10.4
2021,11.5
2022,15.7
2023,13.7
